workflows	Deploy a workflow and inspect an execution	Retry policy and compensation for partial failure
app-engine	Deploy an application version and inspect traffic	Version rollout and runtime selection
blockchain-node-engine	Create a node and verify its endpoint	Endpoint access and node availability
buildpacks	Build a runnable container from source and inspect the result	-
cloud-run	Deploy a container and invoke its authenticated endpoint	Concurrency, ingress and service identity
google-kubernetes-engine	Create a cluster and expose a workload	Workload identity, network policy and availability
ai-hypercomputer	NONE:Architecture portfolio spanning accelerators, networking and software; teach concrete provisioning in Compute Engine, Cloud TPU and GKE walkthroughs	-
batch	Submit a batch job and inspect task completion	Parallelism, retries and compute allocation
capacity-planner	Inspect capacity usage and forecast requirements	-
cluster-director	Create and inspect a managed cluster fleet	Fleet lifecycle and capacity governance
cluster-toolkit	Render a cluster blueprint and inspect deployed resources	Blueprint dependencies and infrastructure state
compute-engine	Create a VM with constrained network access and verify it	Instance groups, zonal resilience and service identity
container-optimized-os	Run a container on a VM using the optimized image	-
oracle-on-google-cloud-compute	Plan Oracle compute resources and validate connectivity	Workload topology and licensing prerequisites
shielded-vms	Configure boot protections and inspect integrity status	-
vm-manager	Apply an OS policy and inspect VM compliance	Patch rollout and failure containment
vmware-engine	Provision a private cloud and validate connectivity	Hybrid networking and workload migration boundaries
workload-manager	Run a workload evaluation and inspect findings	-
bigquery	Load a table and run a cost-aware query	Partitioning, reservations and data access boundaries
blockchain-analytics	Query an indexed blockchain dataset	-
cloud-data-fusion	Build a data pipeline and inspect a run	Runtime identity and private source connectivity
cortex-framework	Deploy a selected data foundation and inspect models	Source mappings and analytics governance
data-studio	Connect a source and publish a dashboard	-
dataflow	Run a pipeline and inspect processing metrics	Windowing, scaling and delivery semantics
dataform	Compile SQL dependencies and execute a workflow	Release configuration and execution identity
dataproc-metastore	Create a metastore and connect a processing workload	Metadata availability and network placement
datastream	Configure a source stream and validate replication	CDC backfill and schema evolution
knowledge-catalog	Discover data assets and inspect governance metadata	Catalog permissions and metadata versus data access
lakehouse	Configure an open table and query its data	Storage, table metadata and engine interoperability
looker	Connect a database and explore a modeled dataset	Semantic modeling and row access boundaries
managed-service-for-apache-airflow	Deploy a DAG and inspect its task runs	Environment networking and task failure recovery
managed-service-for-apache-kafka	Create a cluster and exchange records	Partition design and client authentication
managed-service-for-apache-spark	Submit a Spark workload and inspect output	Serverless versus managed cluster execution
manufacturing-data-engine	Ingest a factory signal and inspect contextualized data	Industrial source integration and governance
pub-sub	Publish a message and acknowledge delivery	Redelivery, ordering and subscription design
alloydb	Create a cluster and connect a PostgreSQL client	Read scaling, resilience and connection pooling
alloydb-omni	Install a database instance and validate a client connection	Operator responsibilities and backup topology
bigtable	Create a table and read row-keyed data	Row-key design, hotspots and replication
cloud-sql	Create a database with private connectivity	HA, backup recovery and connection management
database-migration-service	Create a migration job and validate the target	Cutover planning and replication consistency
firestore-in-datastore-mode	Write an entity and execute an indexed query	Entity groups, indexes and consistency decisions
firestore-with-mongodb-compatibility	Connect a MongoDB client and query documents	Compatibility constraints and indexing decisions
memorystore-for-redis-cluster	Create a cluster and verify cache access	Sharding, client behavior and cache failure handling
memorystore-for-valkey	Create an instance and validate private client access	Cache replication and application fallback
spanner	Create a database and execute a transaction	Key distribution and instance configuration
cloud-location-finder	Query cloud locations against a requirement	-
config-controller	Reconcile a resource through a managed controller	Controller identity and reconciliation ownership
config-sync	Sync a repository and detect configuration drift	Repository trust and multi-cluster rollout
gke-multi-cloud	Create or connect a cluster and inspect fleet visibility	Cross-cloud identity and network boundaries
policy-controller	Apply a constraint and inspect a violation	Audit versus enforcement and rollout safety
service-directory	Register a service endpoint and resolve it	-
ai-commerce-search	Import catalog items and test a search request	Catalog quality and relevance evaluation
anti-money-laundering-ai	Prepare a dataset and evaluate detection output	Model validation and controlled financial data access
healthcare-data-engine	Ingest healthcare data and inspect normalized output	Interoperability and sensitive data boundaries
talent-solutions	Create job records and run a search	-
telecom-network-automation	Define a network deployment and inspect reconciliation	Multi-site orchestration and failure boundaries
telecom-subscriber-insights-api	Create an insights request and inspect a response after documentation access is restored	Subscriber data governance and access
vision-api-product-search	Create a product set and search it with an image	-
dual-run	Compare paired workload outputs during migration	Mismatch analysis and production cutover criteria
mainframe-assessment-tool	Collect assessment input and inspect migration findings	-
mainframe-connector	Transfer a mainframe dataset and verify its destination	Encoding, transfer integrity and access boundaries
migrate-to-containers	Analyze a workload and inspect its container deployment	Modernization suitability and state externalization
migrate-to-vms	Replicate a VM and perform a test clone	Cutover, rollback and network mapping
migration-center	Import an inventory and inspect an assessment	Dependency discovery and migration wave planning
cloud-armor	Attach a policy and verify an allowed and blocked request	Rule priority, preview and WAF tuning
cloud-cdn	Enable caching and verify a cached response	Cache keys and invalidation design
cloud-dns	Create a zone and verify a record	Private DNS and hybrid resolution
cloud-domains	Inspect registration prerequisites and configure DNS delegation	-
cloud-ids	Create an endpoint and inspect detection findings	Traffic mirroring and detection coverage
cloud-interconnect	Configure a VLAN attachment and validate routing	Redundancy and hybrid failure paths
cloud-load-balancing	Configure a backend and verify load-balanced access	Load balancer scope and health-check behavior
cloud-nat	Configure outbound translation and verify private VM egress	Port allocation and egress observability
cloud-ngfw	Apply a firewall policy and verify traffic behavior	Hierarchical policies and inspection placement
cloud-router	Configure a BGP session and inspect learned routes	Route advertisements and failover
cloud-service-mesh	Apply a traffic policy and inspect service communication	Mutual TLS and traffic reliability
cloud-vpn	Create VPN tunnels and verify hybrid reachability	HA topology and BGP failover
data-transfer-essentials	Configure a supported transfer flow and verify delivery	Transfer path selection and cost boundaries
media-cdn	Configure an origin and inspect media delivery	Origin protection and cache strategy
network-connectivity-center	Connect network spokes and inspect route propagation	Hub topology and transitive routing
network-intelligence-center	Run a connectivity test and inspect the path	-
network-security-integration	Connect a security appliance and verify traffic inspection	Appliance insertion and asymmetric routing
network-service-tiers	NONE:Tier selection is a property of supporting networking resources; demonstrate it within load balancing and IP workflows instead of inventing a standalone deployment	-
secure-access-connect	Configure a secure connection and validate workload reachability	Hybrid trust and connector availability
secure-web-proxy	Apply an egress policy and verify allowed web access	TLS inspection and policy boundaries
service-extensions	Attach a supported extension and test request processing	Extension latency and failure behavior
virtual-private-cloud	Create subnets and verify controlled VM communication	Shared VPC, peering and address planning
vpc-service-controls	Create a dry-run perimeter and inspect violations	IAM versus exfiltration boundaries and access levels
error-reporting	Send an application error and inspect its group	-
logging	Query logs and configure a routing sink	Retention, exclusions and destination permissions
monitoring	Create an alert and verify a monitored signal	SLOs, signal selection and alert noise
profiler	Instrument an application and inspect a profile	-
trace	Instrument a request and inspect its spans	Sampling and cross-service trace context
access-context-manager	Create an access level and validate its conditions	Context levels versus resource authorization
access-transparency	Inspect a provider access log and its justification	-
advisory-notifications	Inspect a notification and configure access	-
assured-oss	Retrieve a verified dependency and inspect its metadata	Artifact verification and package provenance
assured-workloads	Create a controlled workload environment and inspect guardrails	Compliance boundary and exception management
audit-manager	Configure an assessment and inspect collected evidence	Evidence access and assessment scope
binary-authorization	Require an attestation and test deployment policy	Attestor trust and emergency overrides
ca-service	Create a CA pool and issue a certificate	Root hierarchy and certificate lifecycle
certificate-manager	Provision a certificate and attach it to a serving endpoint	Certificate maps and renewal validation
chrome-enterprise-premium	Apply context-aware application access and test a session	Device trust and access enforcement points
cloud-asset-inventory	Search assets and export an inventory	-
cloud-kms	Create a key and perform an encryption operation	Key hierarchy, rotation and separation of duties
fraud-defense	Integrate an assessment and inspect risk output	Risk policy tuning and application enforcement
google-secops	Ingest a log and investigate a detection	Detection lifecycle and response permissions
identity-and-access-management	Grant a least-privilege role and test access	Service account impersonation and policy inheritance
identity-aware-proxy	Protect an application and test authenticated access	Identity-based access and backend network exposure
model-armor	Configure a screening policy and test a prompt	Prompt screening and application response handling
policy-intelligence	Analyze an access policy and inspect recommendations	-
resource-manager	Create a project hierarchy and inspect inherited policy	Organization, folder and project governance
secret-manager	Create a secret version and access it with a workload identity	Version rotation and credential exposure
security-command-center	Inspect findings and track remediation	Organization coverage and finding prioritization
sensitive-data-protection	Inspect sample data and apply de-identification	Detection scope and transformation reversibility
service-health	Inspect a disruption and configure health notifications	-
sovereign-controls-by-partners	Configure a supported partner control and inspect key access	External key dependencies and sovereignty boundaries
spectrum-access-system	Register a radio and inspect spectrum authorization	Grant lifecycle and interference coordination
unified-maintenance	Inspect a maintenance event and configure its handling	-
web-risk	Check a URL and handle its verdict	-
backup-and-dr-service	Apply a backup policy and validate a restore	Retention, recovery objectives and protected backup access
cloud-storage	Create a bucket and test restricted object access	Retention, lifecycle and storage class trade-offs
filestore	Create a file share and mount it from a client	Network placement, capacity and recovery
netapp-volumes	Create a volume and validate a protocol mount	Storage pools, snapshots and replication
